Date,Visitor,Visitor Score,Home Team,Home Score,Line,season
8/29/13,North Carolina,10,South Carolina,27,13,2013
8/29/13,Nevada-Las Vegas,23,Minnesota,51,13.5,2013
8/29/13,Tulsa,7,Bowling Green,34,3,2013
8/29/13,Akron,7,U-C-F,38,24,2013
8/29/13,Utah State,26,Utah,30,1,2013
8/29/13,Mississippi,39,Vanderbilt,35,-3.5,2013
8/29/13,Rutgers,51,Fresno State,52,10.5,2013
8/29/13,Southern Cal,30,Hawaii,13,-24.5,2013
8/29/13,Sacramento State,0,San Jose State,24, ,2013
8/29/13,Liberty,10,Kent State,17, ,2013
8/29/13,Presbyterian,7,Wake Forest,31, ,2013
8/29/13,Illinois State,28,Ball State,51, ,2013
8/29/13,Indiana State,35,Indiana,73, ,2013
8/29/13,Southern Utah,22,South Alabama,21, ,2013
8/29/13,Towson,33,Connecticut,18, ,2013
8/29/13,Western Carolina,24,Middle Tennessee,45, ,2013
8/29/13,Jackson State,7,Tulane,34, ,2013
8/30/13,Western Michigan,13,Michigan State,26,27.5,2013
8/30/13,Florida Atlantic,6,Miami-Florida,34,31.5,2013
8/30/13,Texas Tech,41,S-M-U,23,-4.5,2013
8/30/13,Morgan State,12,Army,28, ,2013
8/30/13,Samford,31,Georgia State,21, ,2013
8/30/13,North Dakota St,24,Kansas State,21, ,2013
8/30/13,Southern Univ,13,Houston,62, ,2013
8/30/13,Northern Arizona,0,Arizona,35, ,2013
8/31/13,Massachusetts,0,Wisconsin,45,43,2013
8/31/13,Central Michigan,9,Michigan,59,31,2013
8/31/13,Buffalo,20,Ohio State,40,35,2013
8/31/13,Louisiana Tech,14,No Carolina State,40,14.5,2013
8/31/13,Florida Intl,10,Maryland,43,21,2013
8/31/13,Northern Illinois,30,Iowa,27,3,2013
8/31/13,Temple,6,Notre Dame,28,28,2013
8/31/13,Brigham Young,16,Virginia,19,-3,2013
8/31/13,Alabama,35,Virginia Tech,10,-22.5,2013
8/31/13,U-A-B,31,Troy,34,3.5,2013
8/31/13,Purdue,7,Cincinnati,42,11,2013
8/31/13,Kentucky,26,Western Kentucky,35,-4.5,2013
8/31/13,Miami-Ohio,14,Marshall,52,21,2013
8/31/13,Mississippi State,3,Oklahoma State,21,13,2013
8/31/13,UL-Monroe,0,Oklahoma,34,21.5,2013
8/31/13,Texas State,22,Southern Miss,15,9,2013
8/31/13,New Mexico State,7,Texas,56,43.5,2013
8/31/13,Rice,31,Texas A+M,52,30,2013
8/31/13,Toledo,6,Florida,24,22,2013
8/31/13,UL-Lafayette,14,Arkansas,34,10,2013
8/31/13,Washington State,24,Auburn,31,14,2013
8/31/13,Idaho,6,North Texas,40,17,2013
8/31/13,Penn State,23,Syracuse,17,-9,2013
8/31/13,Wyoming,34,Nebraska,37,31,2013
8/31/13,Texas-San Antonio,21,New Mexico,13,4,2013
8/31/13,Georgia,35,Clemson,38,-3,2013
8/31/13,Louisiana State,37,Texas Christian,27,-6,2013
8/31/13,Boise State,6,Washington,38,4.5,2013
8/31/13,Nevada-Reno,20,U.C.L.A.,58,21,2013
8/31/13,Northwestern,44,California,30,-6,2013
8/31/13,Arkansas-Pine Bluff,11,Arkansas State,62, ,2013
8/31/13,Colgate,13,Air Force,38, ,2013
8/31/13,Elon,0,Georgia Tech,70, ,2013
8/31/13,Murray State,14,Missouri,58, ,2013
8/31/13,Austin Peay,0,Tennessee,45, ,2013
8/31/13,Southern Illinois,34,Illinois,42, ,2013
8/31/13,Villanova,14,Boston College,24, ,2013
8/31/13,William + Mary,17,West Virginia,24, ,2013
8/31/13,No Carolina Central,0,Duke,45, ,2013
8/31/13,Nicholls State,3,Oregon,66, ,2013
8/31/13,Eastern Washington,49,Oregon State,46, ,2013
8/31/13,Howard,24,Eastern Michigan,34, ,2013
8/31/13,McNeese State,53,South Florida,21, ,2013
8/31/13,Old Dominion,38,East Carolina,52, ,2013
8/31/13,Wofford,3,Baylor,69, ,2013
8/31/13,Eastern Illinois,40,San Diego State,19, ,2013
8/31/13,Northern Iowa,28,Iowa State,20, ,2013
9/1/13,Ohio,7,Louisville,49,21,2013
9/1/13,Colorado,41,Colorado State,27,3,2013
9/2/13,Florida State,41,Pittsburgh,13,-12.5,2013
9/5/13,Florida Atlantic,13,East Carolina,31,21,2013
9/5/13,Sacramento State,0,Arizona State,55, ,2013
9/6/13,Wake Forest,10,Boston College,24,3,2013
9/6/13,U-C-F,38,Florida Intl,0,-26,2013
9/7/13,Florida,16,Miami-Florida,21,-3.5,2013
9/7/13,Miami-Ohio,7,Kentucky,41,18,2013
9/7/13,South Florida,6,Michigan State,21,23,2013
9/7/13,Oklahoma State,56,Texas-San Antonio,35,-30,2013
9/7/13,Houston,22,Temple,13,-3.5,2013
9/7/13,North Texas,21,Ohio,27,4,2013
9/7/13,Middle Tennessee,20,North Carolina,40,20,2013
9/7/13,Cincinnati,17,Illinois,45,-9.5,2013
9/7/13,West Virginia,7,Oklahoma,16,22,2013
