Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/27/2014,Abilene Christian,,Georgia State,,
08/28/2014,Texas A+M,,South Carolina,,10.5
08/28/2014,Wake Forest,,UL-Monroe,,-2.5
08/28/2014,Tulane,,Tulsa,,5.0
08/28/2014,Boise State,,Mississippi,,-9.5
08/28/2014,Temple,,Vanderbilt,,14.0
08/28/2014,Rutgers,,Washington State,,8.0
08/28/2014,Chattanooga,,Central Michigan,,
08/28/2014,Eastern Illinois,,Minnesota,,
08/28/2014,Howard,,Akron,,
08/28/2014,Presbyterian,,Northern Illinois,,
08/28/2014,Idaho State,,Utah,,
08/28/2014,Cal-San Luis Obispo,,New Mexico State,,
08/28/2014,North Dakota,,San Jose State,,
08/28/2014,Weber State,,Arizona State,,
08/29/2014,Brigham Young,,Connecticut,,-16.5
08/29/2014,Bowling Green,,Western Kentucky,,-7.5
08/29/2014,Colorado State,,Colorado,,2.5
08/29/2014,Texas-San Antonio,,Houston,,11.5
08/29/2014,Nevada-Las Vegas,,Arizona,,22.5
08/29/2014,Jacksonville St,,Michigan State,,
08/29/2014,Villanova,,Syracuse,,
08/30/2014,Penn State,,U-C-F,,1.5
08/30/2014,Ohio State,,Navy,,-14.0
08/30/2014,U.C.L.A.,,Virginia,,-21.5
08/30/2014,Appalachian State,,Michigan,,34.5
08/30/2014,Troy,,U-A-B,,0.0
08/30/2014,California,,Northwestern,,11.0
08/30/2014,Georgia Southern,,No Carolina State,,22.0
08/30/2014,Florida Atlantic,,Nebraska,,23.0
08/30/2014,Boston College,,Massachusetts,,-15.0
08/30/2014,Marshall,,Miami-Ohio,,-24.0
08/30/2014,Rice,,Notre Dame,,20.5
08/30/2014,Alabama,,West Virginia,,-26.0
08/30/2014,Arkansas,,Auburn,,20.5
08/30/2014,Clemson,,Georgia,,7.5
08/30/2014,Ohio,,Kent State,,3.0
08/30/2014,Louisiana Tech,,Oklahoma,,38.0
08/30/2014,Western Michigan,,Purdue,,11.0
08/30/2014,Idaho,,Florida,,34.0
08/30/2014,Fresno State,,Southern Cal,,21.0
08/30/2014,Southern Miss,,Mississippi State,,30.5
08/30/2014,Washington,,Hawaii,,-15.5
08/30/2014,Florida State,,Oklahoma State,,-17.5
08/30/2014,North Texas,,Texas,,23.5
08/30/2014,UTEP,,New Mexico,,7.5
08/30/2014,Louisiana State,,Wisconsin,,-4.0
08/30/2014,Wofford,,Georgia Tech,,
08/30/2014,Colgate,,Ball State,,
08/30/2014,Nicholls State,,Air Force,,
08/30/2014,Southern Utah,,Nevada-Reno,,
08/30/2014,Duquesne,,Buffalo,,
08/30/2014,South Dakota State,,Missouri,,
08/30/2014,William + Mary,,Virginia Tech,,
08/30/2014,UC-Davis,,Stanford,,
08/30/2014,Montana,,Wyoming,,
08/30/2014,Portland State,,Oregon State,,
08/30/2014,Elon,,Duke,,
08/30/2014,Liberty,,North Carolina,,
08/30/2014,Morgan State,,Eastern Michigan,,
08/30/2014,Arkansas-Pine Bluff,,Texas State,,
08/30/2014,Central Arkansas,,Texas Tech,,
08/30/2014,Montana State,,Arkansas State,,
08/30/2014,New Hampshire,,Toledo,,
08/30/2014,Northern Arizona,,San Diego State,,
