team,city,mascot,league,division,year
Baltimore Ravens,,,afc,north,
New England Patriots,,,afc,east,
Tennessee Titans,,,afc,south,
Atlanta Falcons,,,nfc,south,
Tampa Bay Buccaneers,,,nfc,south,
Kansas City Chiefs,,,afc,west,
Cincinnati Bengals,,,afc,north,
Miami Dolphins,,,afc,east,
Seattle Seahawks,,,nfc,west,
Minnesota Vikings,,,nfc,north,
Oakland Raiders,,,afc,west,
Arizona Cardinals,,,nfc,west,
Green Bay Packers,,,nfc,north,
New York Giants,,,nfc,east,
Philadelphia Eagles,,,nfc,east,
Houston Texans,,,afc,south,
New York Jets,,,afc,east,
San Diego Chargers,,,afc,west,
Cleveland Browns,,,afc,north,
Carolina Panthers,,,nfc,south,
St Louis Rams,,,nfc,west,
Washington Redskins,,,nfc,east,
Dallas Cowboys,,,nfc,east,
New Orleans Saints,,,nfc,south,
Detroit Lions,,,nfc,north,
Jacksonville Jaguars,,,afc,south,
Denver Broncos,,,afc,west,
San Francisco 49ers,,,nfc,west,
Pittsburgh Steelers,,,afc,north,
Indianapolis Colts,,,afc,south,
Buffalo Bills,,,afc,east,
Chicago Bears,,,nfc,north,
