gameWeek,predictTeam,predict_proba,probaGuess,favorite,lineGuess,Line
5,Pittsburgh Steelers,0.806196351732,16.0,Pittsburgh Steelers,16.0,8.5
5,Philadelphia Eagles,0.705315926845,15.0,Philadelphia Eagles,15.0,6.5
5,Indianapolis Colts,0.704767745283,14.0,Indianapolis Colts,5.0,1.5
5,New York Giants,0.675164996778,13.0,New York Giants,13.0,3.5
5,Kansas City Chiefs,0.645316776635,12.0,Kansas City Chiefs,3.0,-1.0
5,Minnesota Vikings,0.608488225203,11.0,Minnesota Vikings,11.0,-3.0
5,Oakland Raiders,0.607817568534,10.0,Oakland Raiders,8.0,2.5
5,New England Patriots,0.607146439613,9.0,New England Patriots,14.0,-5.5
5,Detroit Lions,0.578151422735,8.0,Detroit Lions,9.0,2.5
5,Tennessee Titans,0.576399779248,7.0,Tennessee Titans,10.0,-3.0
5,Los Angeles Rams,0.508139419396,6.0,Los Angeles Rams,6.0,1.5
5,Green Bay Packers,0.494286928177,5.0,Dallas Cowboys,7.0,2.0
5,Buffalo Bills,0.383011236096,4.0,Cincinnati Bengals,12.0,3.0
5,New York Jets,0.322718549067,3.0,Cleveland Browns,4.0,1.0
