favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
Baltimore Ravens,16.0,13.5,13.5,1,0,0.533333333333
New England Patriots,15.0,12.0,12.0,1,1,0.733333333333
Kansas City Chiefs,14.0,10.5,10.5,1,0,0.533333333333
Carolina Panthers,13.0,10.0,10.0,1,1,0.666666666667
Pittsburgh Steelers,12.0,9.5,-9.5,0,0,0.733333333333
Philadelphia Eagles,11.0,9.0,9.0,1,0,0.8
Minnesota Vikings,10.0,9.0,-9.0,0,1,0.733333333333
Los Angeles Chargers,9.0,7.0,-7.0,0,0,0.466666666667
Chicago Bears,8.0,6.5,6.5,1,0,0.266666666667
Los Angeles Rams,7.0,6.5,-6.5,0,0,0.666666666667
New Orleans Saints,6.0,5.5,5.5,1,1,0.666666666667
Dallas Cowboys,5.0,5.0,5.0,1,0,0.533333333333
Jacksonville Jaguars,4.0,4.0,-4.0,0,0,0.666666666667
Detroit Lions,3.0,4.0,-4.0,0,0,0.533333333333
Washington Redskins,2.0,3.5,3.5,1,0,0.4
Arizona Cardinals,1.0,3.5,3.5,1,0,0.4
