gameWeek,predictTeam,predict_proba,probaGuess,favorite,lineGuess,Line
7,Los Angeles Rams,0.8326544597793207,16.0,Los Angeles Rams,16.0,-10.0
7,Atlanta Falcons,0.7489593586687943,15.0,Atlanta Falcons,12.0,5.5
7,Los Angeles Chargers,0.705940247825645,14.0,Los Angeles Chargers,14.0,6.5
7,Kansas City Chiefs,0.6944521216225257,13.0,Kansas City Chiefs,13.0,6.0
7,Philadelphia Eagles,0.6565416869439081,12.0,Philadelphia Eagles,10.0,4.5
7,Indianapolis Colts,0.6303792084604404,11.0,Indianapolis Colts,15.0,7.5
7,Tampa Bay Buccaneers,0.625033600845397,10.0,Tampa Bay Buccaneers,8.0,3.0
7,New England Patriots,0.6217879494852193,9.0,New England Patriots,9.0,-3.5
7,Jacksonville Jaguars,0.6183566186226623,8.0,Jacksonville Jaguars,11.0,4.5
7,Minnesota Vikings,0.5717488990468917,7.0,Minnesota Vikings,7.0,-3.0
7,Baltimore Ravens,0.5641208076065334,6.0,Baltimore Ravens,5.0,2.5
7,Denver Broncos,0.5402964686381311,5.0,Denver Broncos,3.0,-1.5
7,Washington Redskins,0.5101078449584214,4.0,Washington Redskins,4.0,1.5
7,Miami Dolphins,0.42979838954677096,3.0,Detroit Lions,6.0,-3.0
