favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Chicago Bears,16.0,10.0,-10.0,0,0,0.5,2,1,0.5,,,,10.0,-10.0,
Kansas City Chiefs,15.0,8.5,-8.5,0,0,0.875,3,0,0.0,0.2515079365079365,,,8.5,-8.5,
Carolina Panthers,14.0,6.5,6.5,1,1,0.625,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Dallas Cowboys,13.0,6.0,6.0,1,0,0.375,23,16,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
New England Patriots,12.0,5.5,5.5,1,0,0.75,24,14,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
Minnesota Vikings,11.0,4.5,4.5,1,1,0.5,24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
Miami Dolphins,10.0,3.0,3.0,1,1,0.5,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Baltimore Ravens,9.0,3.0,3.0,1,1,0.5,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
San Francisco 49ers,8.0,2.5,2.5,1,0,0.125,42,21,0.5,0.5132534249376356,0.5172007553849661,0.4827992446150339,2.5,2.5,0.5
Washington Redskins,7.0,1.5,1.5,1,0,0.625,15,8,0.5333333333333333,0.4862534249376355,0.4723627045469154,0.5276372954530846,1.5,1.5,0.5
Seattle Seahawks,6.0,1.5,1.5,1,0,0.5,15,8,0.5333333333333333,0.4862534249376355,0.4723627045469154,0.5276372954530846,1.5,1.5,0.5
New Orleans Saints,5.0,1.0,1.0,1,0,0.75,19,9,0.4736842105263158,0.4606040742882849,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
Denver Broncos,4.0,1.0,1.0,1,0,0.375,19,9,0.4736842105263158,0.4606040742882849,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
