favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Kansas City Chiefs,16.0,14.0,14.0,1,1,0.8333333333333334,6,6,1.0,0.8688888888888886,,,14.0,14.0,
Miami Dolphins,15.0,11.5,11.5,1,0,0.5833333333333334,3,1,0.3333333333333333,0.7756565656565655,0.7688092463092464,0.2311907536907536,11.5,11.5,0.5
Seattle Seahawks,14.0,10.0,10.0,1,0,0.6666666666666666,9,8,0.8888888888888888,0.7243317793317793,0.7354558967602447,0.2645441032397553,10.0,10.0,0.5
Minnesota Vikings,13.0,10.0,10.0,1,0,0.4166666666666667,9,8,0.8888888888888888,0.7243317793317793,0.7354558967602447,0.2645441032397553,10.0,10.0,0.5
Las Vegas Raiders,12.0,9.0,-9.0,0,0,0.5,4,0,0.0,0.23722222222222225,,,9.0,-9.0,
Green Bay Packers,11.0,8.5,8.5,1,0,0.6666666666666666,4,2,0.5,0.7315893044153914,0.7202359154533068,0.2797640845466932,8.5,8.5,0.5
Pittsburgh Steelers,10.0,7.5,7.5,1,0,0.9166666666666666,20,17,0.85,0.6910337488598358,0.7031734794995667,0.2968265205004333,7.5,7.5,0.5
Baltimore Ravens,9.0,7.0,7.0,1,0,0.5,39,29,0.7435897435897436,0.7114882943143813,0.6960249428510301,0.30397505714896994,7.0,7.0,0.5
Tennessee Titans,8.0,5.5,5.5,1,0,0.6666666666666666,24,14,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
Indianapolis Colts,7.0,3.5,-3.5,0,1,0.5833333333333334,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Chicago Bears,6.0,3.0,3.0,1,1,0.4166666666666667,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
New Orleans Saints,5.0,3.0,-3.0,0,1,0.75,60,25,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Los Angeles Rams,4.0,3.0,-3.0,0,1,0.5,60,25,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Los Angeles Chargers,3.0,1.0,1.0,1,0,0.3333333333333333,19,9,0.4736842105263158,0.4606040742882849,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
Buffalo Bills,2.0,1.0,-1.0,0,0,0.6666666666666666,25,10,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
