favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
Detroit Lions,16.0,8.0,8.0,1,1,0.615384615385
New England Patriots,15.0,7.0,7.0,1,0,0.769230769231
Indianapolis Colts,14.0,6.0,6.0,1,1,0.461538461538
Cincinnati Bengals,13.0,6.0,-6.0,0,1,0.307692307692
Atlanta Falcons,12.0,6.0,-6.0,0,0,0.538461538462
Minnesota Vikings,11.0,3.5,-3.5,0,0,0.461538461538
Kansas City Chiefs,10.0,3.0,3.0,1,1,0.692307692308
Dallas Cowboys,9.0,3.0,-3.0,0,1,0.846153846154
Tampa Bay Buccaneers,8.0,2.5,2.5,1,1,0.538461538462
San Francisco 49ers,7.0,2.5,2.5,1,0,0.0769230769231
Seattle Seahawks,6.0,2.5,-2.5,0,0,0.615384615385
Pittsburgh Steelers,5.0,2.0,-2.0,0,0,0.538461538462
Miami Dolphins,4.0,1.5,1.5,1,0,0.538461538462
Tennessee Titans,3.0,1.0,1.0,1,0,0.461538461538
Carolina Panthers,2.0,1.0,1.0,1,0,0.307692307692
Washington Redskins,1.0,1.0,-1.0,0,1,0.461538461538
