Predicted Team,Probability of winning,Rank,Favorite,Spread rank,Spread
New England Patriots,84%,16,New England Patriots,16,9
Arizona Cardinals,83%,15,Arizona Cardinals,15,7.5
New York Giants,69%,14,New York Giants,7,3.5
Atlanta Falcons,69%,13,Atlanta Falcons,9,-4.5
Seattle Seahawks,68%,12,Seattle Seahawks,14,-6
Carolina Panthers,67%,11,Carolina Panthers,5,3
Indianapolis Colts,65%,10,Indianapolis Colts,11,4.5
Buffalo Bills,65%,9,Buffalo Bills,12,-5.5
St Louis Rams,64%,8,St Louis Rams,13,5.5
Minnesota Vikings,64%,7,Minnesota Vikings,4,-2.5
Miami Dolphins,62%,6,Miami Dolphins,10,4.5
San Diego Chargers,61%,5,San Diego Chargers,8,4
Pittsburgh Steelers,60%,4,Pittsburgh Steelers,3,-2
Washington Redskins,52%,3,Washington Redskins,6,3.5
