favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New England Patriots,16.0,7.0,7.0,1,0,0.0
Green Bay Packers,15.0,6.5,-6.5,0,1,0.0
Dallas Cowboys,14.0,6.0,6.0,1,1,0.0
Denver Broncos,13.0,4.5,4.5,1,0,0.0
Seattle Seahawks,12.0,4.0,-4.0,0,1,0.0
Miami Dolphins,11.0,3.5,-3.5,0,0,0.0
Cincinnati Bengals,10.0,3.5,-3.5,0,0,0.0
Tampa Bay Buccaneers,9.0,3.0,3.0,1,0,0.0
San Diego Chargers,8.0,3.0,3.0,1,0,0.0
New York Jets,7.0,3.0,3.0,1,0,0.0
Philadelphia Eagles,5.0,3.0,-3.0,0,0,0.0
Carolina Panthers,6.0,3.0,-3.0,0,0,0.0
Arizona Cardinals,4.0,2.5,2.5,1,0,0.0
Minnesota Vikings,3.0,2.5,-2.5,0,0,0.0
Indianapolis Colts,2.0,2.5,-2.5,0,0,0.0
Houston Texans,1.0,1.0,1.0,1,0,0.0
